,id,keybit_meta,orate,erate_occur,erate_sample,tweet_word_cnt,tweet_keybit_cnt,tweet_keybit_ratio
10219,8687,"[['sink', 1, nan, 8687], ['sinkhol', 1, nan, 8687]]",0.005286867524562863,0.005286867524562863,0.9999992912131865,7,2,0.2857138775516035
1413,2039,"[['casualti', 1, 1.0, 2039]]",0.003126146190582249,0.003126146190582249,0.9999987058837335,8,1,0.12499984375019532
8887,4192,"[['drown', 1, nan, 4192]]",0.009102602143165961,0.009102602143165961,0.9999988989910102,9,1,0.11111098765445816
4505,6403,"[['hurrican', 1, 0.0, 6403]]",0.003401982619163036,0.003401982619163036,0.9999987297310731,7,1,0.14285693877580175
8765,3799,"[['car', 1, nan, 3799], ['deton', 1, nan, 3799]]",0.017055894361850628,0.017055894361850628,0.9999994306648641,5,2,0.39999920000160005
9853,7464,"[['death', 1, nan, 7464], ['obliter', 1, nan, 7464]]",0.009332470499880532,0.009332470499880532,0.9999993999608856,5,2,0.39999920000160005
8385,2533,[],0.0,0.0,0.0,10,0,0.0
2492,3581,"[['battl', 1, 0.0, 3581], ['desol', 1, 0.0, 3581], ['plane', 1, 0.0, 3581]]",0.005884514399395791,0.005884514399395791,0.9999995073558287,12,3,0.24999979166684028
510,736,"[['attack', 1, 1.0, 736], ['muslim', 1, 1.0, 736]]",0.007631478339803785,0.007631478339803785,0.9999992564558601,10,2,0.1999998000002
9030,4662,"[['engulf', 1, nan, 4662]]",0.003401982619163036,0.003401982619163036,0.9999987297310731,6,1,0.16666638888935187
4418,6281,"[['hijack', 1, 1.0, 6281], ['murder', 1, 1.0, 6281]]",0.007999260428469027,0.007999260428469027,0.9999993850426039,5,2,0.39999920000160005
1747,2514,[],0.0,0.0,0.0,2,0,0.0
10179,8564,"[['scream', 1, nan, 8564]]",0.010665675238457085,0.010665675238457085,0.9999989137941971,2,1,0.49999750001249993
7065,10119,"[['upheav', 1, 0.0, 10119]]",0.0026664188096142713,0.0026664188096142713,0.9999986551738776,11,1,0.09090900826453795
4726,6722,"[['blast', 1, 0.0, 6722], ['lava', 1, 0.0, 6722]]",0.003034202231488252,0.003034202231488252,0.9999991944449412,4,2,0.49999875000312505
10839,10719,"[['burn', 1, nan, 10719], ['wreck', 1, nan, 10719]]",0.01406766489144553,0.01406766489144553,0.9999994322051805,6,2,0.33333277777870374
9772,7237,"[['disast', 1, nan, 7237], ['hail', 1, nan, 7237]]",0.008734824605799513,0.008734824605799513,0.9999993759146454,11,2,0.1818180165290759
4139,5886,"[['harm', 1, 0.0, 5886]]",0.004321437381098992,0.004321437381098992,0.9999987872353007,6,1,0.16666638888935187
4110,5841,[],0.0,0.0,0.0,10,0,0.0
